RESULT,PONO,BATCHNO,MIXNO,PDATE,M1T10,T10RE,M1T90,T90RE,M1ML,M1MH,D2MN,D2MNRE,Hard,HardRE,ram_count_closed,ram_closedtime,ram_closedtimemax,ram_opentime,ram_opentimemax,temp_avg_all,temp_avg_when_ram_closed,temp_avg_when_ram_open,temp_max_when_ram_closed,temp_max_when_ram_open,temp_max_minus_min_when_ram_closed,tempinc_avg_when_ram_closed,tempinc_max_when_ram_closed,heat_flux_when_ram_all,heat_flux_when_ram_closed,heat_flux_when_ram_open,volt_avg_all,volt_avg_when_ram_closed,volt_avg_when_ram_open,volt_max_when_ram_closed,volt_max_when_ram_open,volt_max_minus_min,physics_flux_all,physics_flux_when_ram_closed,physics_flux_when_ram_open
NG,14688367,1,K-PMB-17G,737872,112.0,OK,411.0,OK,4.94,24.41,111.7,NG,87.0,OK,6,210,74,91,37,81.96777408637874,90.65428571428572,61.921978021978035,126.2,120.5,126.2,0.006527825753977466,0.2416452442159383,24672.3,19037.4,5634.9000000000015,119.72425249169436,145.81904761904758,59.5054945054945,199.0,163.0,199.0,36037.0,30622.0,5415.0
NG,14688367,3,K-PMB-17G,737872,110.0,OK,401.0,OK,5.04,25.02,116.1,NG,86.0,OK,5,230,84,67,34,89.17171717171715,93.6708695652174,73.7268656716418,127.7,121.0,127.7,0.0027243029457519057,0.0422740524781342,26484.0,21544.3,4939.700000000002,118.77104377104376,136.5086956521739,57.880597014925364,220.0,166.0,220.0,35275.0,31397.0,3878.0
NG,14688367,6,K-PMB-17G,737872,116.0,OK,398.0,OK,5.04,25.45,112.7,NG,88.0,OK,5,202,74,95,64,82.92626262626263,89.54653465346533,68.84947368421054,117.3,113.7,117.3,0.0036994745724730146,0.07544141252006425,24629.1,18088.4,6540.700000000002,117.89225589225587,148.5693069306931,52.66315789473684,200.0,153.0,200.0,35014.0,30011.0,5003.0
NG,14688367,9,K-PMB-17G,737872,115.0,OK,404.0,OK,4.73,24.78,108.4,NG,86.0,OK,5,211,75,112,69,89.69659442724459,95.96635071090046,77.88482142857143,126.3,122.0,126.3,0.004053366277963406,0.10196779964221804,28972.0,20248.9,8723.1,126.96284829721365,163.14691943127963,58.79464285714285,235.0,189.0,235.0,41009.0,34424.0,6585.0
NG,14688367,12,K-PMB-17G,737872,124.0,OK,444.0,OK,4.67,26.88,102.7,NG,87.0,OK,5,238,84,84,41,83.26242236024845,89.01050420168067,66.97619047619048,118.4,115.3,118.4,0.002676679357291627,0.07617504051863863,26810.5,21184.5,5626.0,119.08385093167702,146.92857142857142,40.19047619047619,205.0,162.0,205.0,38345.0,34969.0,3376.0
NG,14688367,15,K-PMB-17G,737872,122.0,OK,428.0,OK,4.44,23.83,104.2,NG,87.0,OK,5,241,84,81,36,88.6552795031056,95.16804979253112,69.27777777777779,126.3,122.2,126.3,0.0030670467728287176,0.11570247933884298,28547.0,22935.5,5611.500000000001,130.3416149068323,155.9792531120332,54.06172839506172,217.0,261.0,217.0,41970.0,37591.0,4379.0
NG,14688367,18,K-PMB-17G,737872,122.0,OK,461.0,OK,5.03,25.9,107.3,NG,88.0,OK,5,235,84,87,41,82.8723602484472,88.28553191489361,68.2505747126437,118.1,114.2,118.1,0.002992749478659702,0.06497622820919179,26684.9,20747.1,5937.800000000001,116.07453416149069,143.55744680851063,41.839080459770116,202.0,157.0,202.0,37376.0,33736.0,3640.0
NG,14687655,1,K-PMB-17G,737871,111.0,OK,293.0,NG,4.12,25.75,96.1,OK,87.0,OK,6,220,74,115,47,83.75462686567164,93.5131818181818,65.08608695652174,130.3,124.2,130.3,0.005123327934472773,0.13232104121475058,28057.8,20572.9,7484.9000000000015,125.31343283582086,156.67727272727276,65.31304347826087,211.0,178.0,211.0,41980.0,34469.0,7511.0
NG,14687655,3,K-PMB-17G,737871,128.0,OK,488.0,OK,4.48,23.32,101.6,NG,88.0,OK,5,239,84,84,36,82.73157894736842,86.78033472803347,71.21190476190475,117.7,114.2,117.7,0.0030448302391794715,0.06821963394342764,26722.3,20740.5,5981.799999999998,116.11145510835915,144.44769874476987,35.48809523809524,203.0,172.0,203.0,37504.0,34523.0,2981.0
NG,14687655,6,K-PMB-17G,737871,126.0,OK,441.0,OK,4.64,22.09,102.1,NG,88.0,OK,4,235,120,95,48,82.23090909090908,87.97021276595743,68.03368421052632,118.1,113.0,118.1,0.0030875878294252964,0.05025125628140703,27136.2,20673.0,6463.2,118.00909090909092,151.2765957446809,35.71578947368421,216.0,149.0,216.0,38943.0,35550.0,3393.0
